,parkrun,location,county,first_run,Notes,lat,lon
206,carlislepark,Morpeth,Northumberland,14 Aug 2021,"The course includes 3 laps within Carlisle Park, broken up by 2 out & back laps along by the river. The route is fairly flat apart from 1 hill that you climb 3 times.",55.1675437,-1.6907444
207,chopwellwood,Gateshead,Tyne and Wear,30 Oct 2021,"A figure of eight loop around the north section of the wood, completing both loops in an anticlockwise direction",54.9625789,-1.6019294
208,cotsfordfields,Horden,County Durham,23 June 2018,Tarmac and grass course overlooking the Durham coast.,54.7637615,-1.3072209
209,darlingtonsouthpark,Darlington,County Durham,15 Dec 2012,At South Park comprising three laps starting at the bowling greens,54.5242081,-1.5555812
210,druridgebay,Morpeth,Northumberland,9 Aug 2014,Two laps of Ladyburn Lake in Druridge Bay Country Park,55.1675437,-1.6907444
211,durham,Durham,County Durham,13 Aug 2011,Starts near the athletics track at Graham Sports Centre,35.996653,-78.9018053
212,gateshead,Gateshead,Tyne and Wear,18 Feb 2012,"In Saltwell Park, opened in 1876 and with eleven listed buildings[94]",54.9625789,-1.6019294
213,hackworth,Shildon,County Durham,9 Mar 2013,At Hackworth Park,54.630125050000004,-1.6501241082980038
214,hamsterleyforest,Bishop Auckland,County Durham,6 Nov 2021,A mixed terrain route that follows the Bedburn Beck for some of the course,54.6640762,-1.6752864
215,hartlepool,Hartlepool,County Durham,26 Apr 2014,An out and back along the promenade,54.6503949,-1.3780261
216,herringtoncountry,Houghton-le-Spring,Tyne and Wear,20 Jul 2019,The course starts next to the amphitheatre and is on hard trail pathways with two loops,54.8406536,-1.4699279
217,jesmonddene,Newcastle,Tyne and Wear,12 Oct 2019,Situated at Jesmond Dene; the course is run entirely on tarmac,54.96475425,-1.607278668150342
218,jubilee,Spennymoor,County Durham,19 Oct 2019,3 laps of Victoria Jubilee Park,54.69286475,-1.6224583900944358
219,leazes,Newcastle,Tyne and Wear,17 Aug 2019,"Three undulating, anticlockwise laps on tarmac paths around the park",54.96475425,-1.607278668150342
221,newbigginbythesea,Newbiggin,Northumberland,14 Oct 2017,Two laps of the bay along the promenade,54.8433436,-2.0800692
222,prudhoeriverside,Prudhoe,Northumberland,12 Nov 2016,Run along the River Tyne,54.954485649999995,-1.8646841255108106
223,risingsun,Newcastle,Tyne and Wear,4 Jun 2016,In The Rising Sun Country Park,54.96475425,-1.607278668150342
224,riverside,Chester-le-Street,County Durham,14 Jul 2012,Encompasses laps along the River Wear,54.8543237,-1.5750431
225,sedgefield,Sedgefield,County Durham,17 Mar 2012,At Hardwick Hall Country Park with two laps of Serpentine Lake,54.6531916,-1.4496577
226,southshields,South Shields,Tyne and Wear,20 Apr 2013,Run along the scenic[98] coastal path and promenade,54.9987414,-1.4321848
227,stewart,Middlesbrough,North Yorkshire,7 Jul 2012,In Stewart Park the birthplace of Captain James Cook with the museum nearby,54.4871446,-0.6272301
228,silksworth,Sunderland,Tyne and Wear,10 Oct 2009,Located at Silksworth Sports Complex,54.8926307,-1.4102433840969901
229,thepastures,Alnwick,Northumberland,12 Jan 2019,"Along north bank of the River Aln, with views of Alnwick Castle.",55.4134875,-1.7073105
230,townmoor,Newcastle,Tyne and Wear,16 Jan 2010,In Exhibition Park,54.96475425,-1.607278668150342
231,tynegreen,Hexham,Northumberland,20 Apr 2019,An out and back course is run on a mixture of tarmac paths and trail paths,54.971478,-2.1017927
233,windynook,Windy Nook,Tyne and Wear,2 Dec 2017,Located at Windy Nook Nature Reserve,54.9424345,-1.5761766
234,teesbarrage,Stockton,County Durham,23 Jun 2012,CLOSED EVENT - no consent from landowners.,38.0374321,-121.3440099
235,alderley,Nether Alderley,Cheshire,2 Jul 2022,"A slightly undulating 2 lap trail run, through the trail paths and woodlands of Alderley Park",53.2796187,-2.2443618057835817
236,alexandra,Moss Side,Manchester,16 Nov 2019,"The all-tarmac course consists of a short start loop, two laps of the park perimeter and a separate loop to the finish",53.4547635,-2.2442531
237,barrow,Barrow-In-Furness,Cumbria,24 Sep 2011,An undulating two and a half laps of Barrow Park,54.1113351,-3.2289494
238,birkenhead,Birkenhead,Merseyside,18 July 2017,"In Birkenhead Park, the first publicly funded Urban park in the world[104][105]",53.376247899999996,-3.0393523389892043
239,blackcombe,Haverigg,Cumbria,4 Nov 2017,Takes place within the closed grounds of HM Prison Haverigg[107],54.1970806,-3.2882199
240,blackpool,Blackpool,Lancashire,4 Feb 2017,In historic and Grade II* listed Stanley Park,53.773228849999995,-3.0371900877377973
241,bolton,Bolton,Manchester,5 Feb 2011,In Leverhulme Park which was donated to the town by Lord Leverhulme,53.5782863,-2.4300367
242,bowerpark,Aspatria,Cumbria,4 Sep 2021,"The course is 5 laps around the perimeter of Bower Park on a mixture of tarmac, gravel and grass",54.7718411,-3.3216602869137013
243,bramhall,Bramhall,Manchester,19 Apr 2008,Two laps inside Bramhall Park,53.3601721,-2.1623117
244,burnage,Heaton Mersey,Manchester,21 Jul 2012,"At Varley Park, running partly along the River Mersey",53.410406,-2.208807
245,burnley,Burnley,Lancashire,2 Jun 2012,Starts outside Towneley Hall,53.7907262,-2.2439196
246,carlisle,Carlisle,Cumbria,19 Jan 2013,In Chances Park starting behind Morton Manor,54.8948478,-2.9362311
247,chaddertonhall,Chadderton,Manchester,23 Apr 2016,In Chadderton Hall Park,53.545462,-2.1378267
248,cheadlehulme,Cheadle Hulme,Manchester,28 Jun 2014,Three laps of Bruntwood Park on grass,53.3760261,-2.1883499
249,chester,Chester,Cheshire,9 Jul 2016,In the Countess of Chester Hospital country park,53.1908873,-2.8908955
250,clitheroecastle,Clitheroe,Lancashire,19 May 2018,Held in the Clitheroe Castle Gardens in front of the 12th century castle. The run is entirely on tarmac paths,53.8717465,-2.3926783
251,congleton,Congleton,Cheshire,15 Dec 2012,Three laps around Astbury Mere,53.1631463,-2.2110691
252,crewe,Crewe,Cheshire,17 Feb 2018,"In Queens Park, originally designed by Edward Kemp",53.0996153,-2.4414627
254,croxtethhall,Croxteth,Merseyside,14 Mar 2015,At historic Croxteth Hall with a single flat lap,53.44262775,-2.8918698152516384
255,cuerdenvalley,Bamber Bridge,Lancashire,10 Aug 2013,In the grounds of Cuerden Hall. The last event was on 14 March 2020 and no longer takes place.,53.7269093,-2.6614198
256,delamere,Delamere,Cheshire,2 Mar 2013,One lap of Blakemere Moss in Delamere Forest,53.2136511,-2.6567857
257,ellesmereport,Ellesmere Port,Cheshire,18 Oct 2014,The course is a 2 lap clockwise route of Whitby Park,53.2789347,-2.9022507
258,fellfoot,Windermere,Cumbria,18 Oct 2014,At The National Trust managed Fell Foot Park besides Lake Windermere[110],54.3794828,-2.9061994
259,fleetwoodpromenade,Fleetwood,Lancashire,4 Aug 2018,A flat out and back course,53.9224847,-3.0329340355325565
260,fletchermoss,Didsbury,Manchester,17 Nov 2018,One long lap and one short lap around Millgate Fields in Fletcher Moss Park[111][112],53.4168134,-2.2321381
261,ford,Ulverston,Cumbria,11 Aug 2018,"3.5 laps on grass, wood, mud and tarmac",54.190426,-3.083899732497249
262,haighwoodland,Haigh,Manchester,31 Oct 2015,At Haigh Hall and goes through Haigh Woods,53.5761081,-2.5953837
263,heatonpark,Manchester,Manchester,20 Jun 2009,In the Grade II listed Heaton Park and starts outside Heaton Hall,53.4794892,-2.2451148
264,hyde,Hyde,Manchester,7 Jan 2017,"Three laps of Hyde Park, Tameside, starting at the bandstand",53.4508687,-2.0782603
265,hyndburn,Accrington,Lancashire,21 Oct 2017,Two laps through a pretty woodland setting,53.7541156,-2.3655434
266,keswick,Keswick,Cumbria,4 Apr 2014,Runs along the disused Keswick Railway path with views of the River Greta,54.6009281,-3.137609
267,kewwoods,Kew,Merseyside,15 Dec 2018,Two laps of Kew Woods on a mixture of tarmac and trail. Undulating in parts,53.629808,-2.974934305520647
268,knowsley,Knowsley,Merseyside,10 Dec 2016,Two laps of Stadt Moers Park on trail and grass,53.4425436,-2.8095722777892966
269,lancaster,Lancaster,Lancashire,9 Jan 2016,In Williamson Park created by James Williamson,54.0484068,-2.7990345
270,lymepark,Disley,Cheshire,22 Feb 2014,At Grade I listed Lyme Park with views of the surrounding countryside[113][114],53.353252,-2.028978046618858
271,lythamhall,Lytham,Lancashire,28 Nov 2015,In the grounds of Grade I listed Lytham Hall,53.7384747,-2.9560527
272,macclesfield,Macclesfield,Cheshire,28 Apr 2018,In the grounds of the Historic South Park in the centre of Macclesfield.,53.2606635,-2.1255158
273,marple,Marple,Manchester,26 May 2012,"At Brabyns Park, a conservation area, mostly on grass and trail",53.3930149,-2.0693132
274,millom,Millom,Cumbria,17 Dec 2016,A slow run due to mud and amongst the lowest average weekly participation,54.2106855,-3.2719019
275,morecambeprom,Morecambe,Lancashire,13 Apr 2019,Out and back again on the hard-surfaced promenade,54.0721085,-2.8650938
276,nobles,Douglas,Isle of Man,21 Oct 2017,"The only Parkrun on the Isle of Man. Note that in June/July 2021 a new parkrun Region was created with Nobles the sole parkrun - presumably a region for the ""Isle of Man"". However in the parkrun Wiki Nobles remains in the North West region.",54.149774,-4.4779021
277,northwich,Northwich,Cheshire,31 Mar 2018,In Carey park near to the Anderton Boat Lift and Marbury Country Park,53.2602539,-2.5145104
278,oldham,Oldham,Manchester,24 Jul 2010,Three laps of Alexandra Park starting at the Lion's Den,53.5415797,-2.1147831
279,ormskirk,Ormskirk,Lancashire,29 Mar 2014,At Edge Hill University,53.5673603,-2.8859603
280,peel,Salford,Manchester,11 Sep 2021,This is a two lap course by the river and around a football pitch and the park. It is mainly on good quality paths except for a short section on grass,53.4877463,-2.2891921
281,pendle,Colne,Lancashire,10 May 2014,"On Holt House playing fields, the home ground of Colne F.C.",53.8567728,-2.1691238
282,penningtonflash,Leigh,Manchester,12 Mar 2011,"At Pennington Flash Country Park, known for bird watching",53.4960455,-2.5171495
283,penrith,Penrith,Cumbria,8 Feb 2014,Starts at Frenchfield Sports Centre and passes Brougham Castle,54.6649465,-2.749059585987326
284,phoenix,"Runcorn,",Cheshire,28 Jan 2017,At Phoenix Park adjacent to the 12th Century and Grade I Listed Norton Priory,53.27222675,-2.556010587024539
285,preston,Preston,Lancashire,12 May 2012,"In Avenham Park, a Grade II* listed park unchanged since 1861[115]",53.7593363,-2.6992717
286,princes,Liverpool,Merseyside,26 Nov 2011,Two laps of Prince's Park with Grade I listed Sefton Park half a mile away,53.4953602,-2.973937960086006
287,rothaypark,Ambleside,Cumbria,25 Jan 2020,"3.5 laps, run on a mixture of concrete paths and grass",54.431954,-2.9630528
288,salewater,Sale,Manchester,7 Oct 2017,At Sale Water Park which offers water sports and a wildlife refuge,53.4244939,-2.318415
289,southmanchester,Fallowfield,Manchester,14 Nov 2009,At Platt Fields Park containing a Boating Lake and Costume Gallery,53.4448039,-2.2214645
290,southport,Southport,Merseyside,11 Jun 2016,Three laps of Hesketh Park on tarmac footpaths,53.6468651,-3.0028279
291,sthelens,St Helens,Merseyside,5 Jul 2014,"At Victoria Park, St Helens",53.4908722,-2.7176839999999904
292,stamfordpark,Stalybridge,Manchester,2 May 2015,Two laps of Stamford Park boating lake,53.4840214,-2.0562536
293,stretford,Stretford,Manchester,14 Nov 2015,At Longford Park next to Trafford Athletic Stadium,53.445428,-2.3223051
294,suttonmanor,St. Helens,Merseyside,7 Dec 2019,"This out and back, undulating course takes place in a well established forest environment, consisting of fast gravel tracks, steep climbs and descents",53.4908722,-2.7176839999999904
295,talkintarncountrypark,Brampton,Cumbria,15 Jan 2022,"2 laps on trail paths around the woods, fields and tarnside path",54.9422402,-2.7344533
296,tawdvalley,Skelmersdale,Lancashire,27 Jul 2019,"Starts outside Nye Bevan Pool, Skelmersdale Concourse shopping centre",53.5524745,-2.7845229
297,warrington,Warrington,Cheshire,25 Jan 2014,In Victoria Park with views of the Manchester Ship Canal[116],53.3929261,-2.5898631424712084
298,watergrove,Wardle,Manchester,7 Jun 2014,"A hilly run with views of Watergrove Reservoir, Rochdale and Manchester[117]",53.6489559,-2.129496
299,whinlatterforest,Whinlatter,Cumbria,13 Jan 2018,A hilly trail run through Whinlatter Forest Park with views of Derwentwater[118],54.6130648,-3.2455265
300,whitehaven,Whitehaven,Cumbria,30 Jun 2018,"An ‘out and back’ course on the C2C cycle track. It is a tarmac route for the full length of the course, with the start and finish on grass area",54.5474199,-3.5885335
301,widnes,"Widnes,",Cheshire,17 Jan 2015,Three Laps of Victoria Park starting at the bandstand,53.371375650000004,-2.7062705551619053
302,wilmslow,Wilmslow,Cheshire,11 Apr 2015,"In The Carrs Park, two miles from Quarry Bank Mill[119]",53.3261292,-2.2327511
303,witton,Blackburn,Lancashire,29 Aug 2015,In Witton Country Park,53.64571545,-2.6380778905897326
304,woodbank,Stockport,Manchester,22 Aug 2009,In Woodbank Park and crosses into neighbouring Vernon Park,53.407901,-2.160243
305,workington,Workington,Cumbria,22 Jun 2013,An out and back taking in Siddick Ponds Nature reserve,54.6415716,-3.5459287
306,worsleywoods,Salford,Manchester,3 Mar 2012,At Broadoak Park and Worsley Woods,53.4877463,-2.2891921
307,wythenshawe,Wythenshawe,Manchester,6 Aug 2011,In Wythenshawe Park starting at Wythenshawe Hall,53.3803596,-2.2632079
308,antrim,Antrim,County Antrim,28 Sep 2013,"At Loughshore Park, adjacent to Antrim Castle gardens and run on gravel and bitmac paths",54.715139,-6.2192038
309,armagh,Armagh,County Armagh,12 Oct 2013,"At Palace Demesne Public Park on a mixture of natural woodland, tarmac paths and grass",54.30201135,-6.612426774999999
310,bangor,Bangor,County Down,29 Mar 2014,At Ward Park run entirely on bitmac paths,54.662595,-5.6679127
311,belfastvictoria,Belfast,Belfast,7 May 2011,At Victoria Park comprising three outer laps of the lake on tarmac and trail paths,46.0785753,-62.8783952
312,carrickfergus,Carrickfergus,County Antrim,1 Feb 2014,At Amphitheatre Wellness Centre on a mixture of tarmac paths and trail paths,54.7136165,-5.8073112
313,castlewellan,Castlewellan,County Down,23 Sep 2017,At Castlewellan Forest Park entirely on trail paths,54.2589987,-5.9432827
314,citypark,Craigavon,County Armagh,11 Aug 2012,One lap of the lakes on relatively level bitmac paths,54.4507201,-6.3921622
315,colinglen,"Belfast, Northern Ireland",Belfast,10 Oct 2015,A hilly run at Colin Glen Forest Park on a mixture of tarmac paths and metal bridge,54.5944529,-5.9360857
316,comber,Comber,County Down,31 May 2014,The course is run on a mixture of tarmac paths and gravel paths,54.5498342,-5.7454313
317,crawfordsburncountry,Helen's Bay,County Down,29 Feb 2020,One lap around Crawfordsburn Country Park,54.6727763,-5.7453327
318,derrycity,Derry,Northern Ireland,29 Jun 2013,"At the centre of the city, run along the promenade and cross the river",54.9978678,-7.3213056
319,derrynoidforest,Draperstown,Northern Ireland,26 Feb 2022,"The course is at Derrynoid Forest, Draperstown. The course consists of three laps of a forest trail loop",54.79358,-6.7842045
320,dungannonpark,Dungannon,County Tyrone,18 Aug 2018,"At Dungannon Park on a mixture of concrete paths, gravel paths and trail paths",54.5039088,-6.7703622
321,dunleathplayingfields,Downpatrick,County Down,26 March 2022,"The course is at Dunleath Playing Fields, Downpatrick. The course is run entirely on permanent paths",54.3279335,-5.71649
322,ecos,Ballymena,County Antrim,31 Mar 2012,At Ecos Park starting at the visitor centre,54.8662966,-6.2760159
323,enniskillen,Enniskillen,County Fermanagh,13 Apr 2013,"Starts at the athletic stadium, passing Enniskillen Castle, Castle Island and Lough Erne",54.3448538,-7.6389365
324,falls,Belfast,Belfast,26 May 2012,"At Falls Park, Falls Road entirely on tarmac footpaths",46.0785753,-62.8783952
325,garvaghforest,Coleraine,County Antrim,31 July 2021,"The event takes place at Garvagh Forest, Garvagh, Coleraine, BT51 5NJ",55.074231,-6.5198546
326,hillsboroughforest,Hillsborough,County Down,26 June 2021,"The event takes place at Hillsborough Forest, Park St, Hillsborough, BT26 6HL",54.4613784,-6.086035813872742
327,holycrosscollege,Strabane,County Tyrone,15 Jun 2019,"At Holy Cross College on a mixture of tarmac paths, running track, and grass",54.826115,-7.4627993
328,knockbrackenreservoir,Carryduff,County Down,29 Feb 2020,"Three laps of the path around the reservoir run anticlockwise, starting and finishing close to café",54.5184788,-5.8874586
329,larne,Larne,County Antrim,9 Nov 2013,"At Carnfunnock Country Park on a mixture of tarmac paths, gravel paths and trail paths",54.8508458,-5.8183116
330,lowerdrummans,Magilligan Prison,Northern Ireland,6 Jan 2018,"This event takes place within the grounds of a closed prison, and as such is currently not accessible to members of the public",55.1761449,-6.949282000260281
331,limavady,Limavady,Northern Ireland,28 Mar 2015,At Blackburn Park entirely on tarmac paths,55.0504857,-6.9505134
332,limeparkplayingfields,Armoy,County Antrim,6 Aug 2022,Three laps around Limepark Playing Fields close to the iconic Dark Hedges.,55.1313382,-6.326702
333,musacookstown,Cookstown,County Tyrone,18 May 2013,"At the Loughry Campus of the College of Agriculture, Food and Rural Enterprise entirely on tarmac paths",54.6436734,-6.7416008
334,omagh,Omagh,County Tyrone,8 Oct 2016,"At Omagh Leisure Complex, starting on the running track",54.5992486,-7.3029907
335,orangefield,Belfast,Belfast,4 Aug 2018,At Orangefield & Greenville Park on a mixture of concrete paths and trail paths,46.0785753,-62.8783952
336,ormeau,Belfast,Belfast,22 Jun 2013,At Ormeau Park entirely on bitmac path,46.0785753,-62.8783952
337,portrush,Portrush,County Antrim,8 Sep 2012,"At East Strand Beach, entirely on the sand, it is a there-and-back course that starts at one end of the beach, and was voted Britain's best Parkrun in 2017,",55.2060325,-6.6540486
338,queens,Belfast,Belfast,25 Feb 2012,"At Queen's University Sport at Upper Malone, run on a gravel surface",46.0785753,-62.8783952
339,rostrevor,Rostrevor,County Down,26 Nov 2016,"At Kilbroney Park, undulating on a mixture of tarmac paths and trail paths",54.100725,-6.2004264
340,sixmilewater,Ballyclare,County Antrim,20 July 2019,At Sixmilewater Park on a mixture of tarmac paths and trail paths,54.7525296,-6.0010911
342,stranmillis,Belfast,Northern Ireland,2 Feb 2019,At Stranmillis University College. This event is CLOSED until further notice. Last event was on 14 March 2020,54.596391,-5.9301829
343,valley,Newtownabbey,Belfast,9 Aug 2014,At Valley Leisure centre run entirely on tarmac paths,54.6572656,-5.942125021874236
344,wallace,Lisburn,Belfast,2 Mar 2013,At Wallace Park entirely on tarmac paths,54.5140184,-6.0454968
345,waterworks,Belfast,Belfast,6 Nov 2010,The course is run entirely on tarmac paths,46.0785753,-62.8783952
346,aberdeen,Aberdeen,Aberdeenshire,8 Oct 2011,"The course is an out and back route, along Aberdeen Beach Esplanade.",57.3104596,-2.2672868
347,agnew,Stranraer,Dumfries and Galloway,14 Dec 2019,Three laps taking in Stranraer promenade and Agnew Park.,54.9044332,-5.026204
348,alness,Alness,Highland,26 Aug 2017,At Crawl Park on grass and trail paths; a flat out and back course.,57.6959431,-4.2541572
349,aviemore,Aviemore,Highland,6 May 2017,An undulating out and back course on a scenic stretch of the Speyside Way,57.1937528,-3.8287496
350,ayr,Ayr,South Ayrshire,20 Sep 2014,At Rozelle Park,55.4628044,-4.6302502
351,bressay,Bressay,Shetland,20 Jan 2018,An out and back on tarmac paths,60.146117149999995,-1.0835368155917637
352,camperdowndundee,Camperdown,Angus,19 May 2012,Takes place in Camperdown Country Park.,55.0367388,-1.577295
353,crathescastle,Banchory,Aberdeenshire,9 February 2019,Takes place in the grounds of National Trust for Scotland property Crathes Castle.,57.0513874,-2.5044583
354,crichton,Dumfries,Dumfries and Galloway,6 Jan 2018,Run at The Crichton starting near the memorial church,55.069836,-3.6092292
355,deancastlecountry,Kilmarnock,East Ayrshire,31 Aug 2019,"Held at Dean Castle, a property and country park owned by East Ayrshire Council.",55.6100589,-4.4964652
356,drumchapel,Drumchapel,Glasgow,4 Jun 2016,"Takes place in Garscadden Woods, a Forestry Commission Scotland protected woodland.",55.9122436,-4.3691706
357,drumpelliercountry,Coatbridge,North Lanarkshire,27 Jul 2019,Two lap course located in Drumpellier Country Park.,55.8622848,-4.0273166
358,dunfermline,Dunfermline,Fife,4 Jul 2015,"The course is 3 laps, located in Pittencrieff Park.",56.0713724,-3.4616183
359,edinburgh,Cramond,Edinburgh,17 Oct 2009,"The course is an out and back along Cramond Promenade. Hard surface, very flat.",55.9711016,-3.3067256
360,eglinton,Irvine,North Ayrshire,16 Mar 2013,The course is located in Eglinton Country Park.,55.6143121,-4.6655591
361,elderpark,Govan,Glasgow,11 Jun 2022,Three and a bit lap clockwise course in Elder Park.,55.859793,-4.3226578
362,elgin,Elgin,Moray,5 Mar 2016,Starts and finishes in Cooper Park near Elgin Cathedral. The course consisits of two clockwise laps.,57.6487891,-3.3148459
363,ellon,Ellon,Aberdeenshire,17 Oct 2015,"Starting at Ellon Academy, the course is an 'out and back' into Ellon",57.365049,-2.0710305
364,falkirk,Falkirk,Falkirk,16 Jul 2011,The course is located in Callendar Park.,55.9991959,-3.784376
365,faskallyforest,Pitlochry,Perth and Kinross,7 Mar 2020,The course is on trail paths in Faskally Forest. Two laps on an undulating course.,56.701969,-3.7306846
366,forfarloch,Forfar,Angus,12 Feb 2022,One clockwise lap of Forfar Loch.,56.6443013,-2.888212
367,fortwilliam,Fort William,Highland,7 Apr 2018,A one lap course to the north of Ben Nevis,56.8178285,-5.110974
368,ganavansands,Oban,Argyll and Bute,20 Aug 2016,An out and back course into Dunbeg,56.415695,-5.4734688
369,girvanprom,Girvan,South Ayrshire,28 Jul 2018,A two lap course along the seafront,55.2413151,-4.8553579
370,greenock,Greenock,Inverclyde,17 May 2014,The course is located on Greenock Esplanade.,55.9473423,-4.7564721
371,haylodge,Peebles,Scottish Borders,3 Nov 2018,Three laps of Hay Lodge Park.,55.6517553,-3.1885456
373,holyrood,Holyrood Park,Edinburgh,16 July 2022,"A one lap loop on closed roads and pavement round Arthur's Seat, with a long, steep start",55.9468342,-3.163671485821115
374,kirkcaldy,Kirkcaldy,Fife,14 Feb 2015,At Beveridge Park on a mixture of tarmac paths and gravel paths,56.1110218,-3.1582296
375,kirkwall,Kirkwall,Orkney,21 Apr 2018,Laps of the Peedie Sea entirely on tarmac paths,58.9816049,-2.960369
376,lanarkmoor,Lanark,South Lanarkshire,11 Aug 2018,"The course is 2 loops, one of Lanark Loch and the other of Lanark Moor Cycle Trail, located in Lanark Moor Country Park, next to Lanark Racecourse.",55.6736271,-3.7780361
377,largsprom,Largs,North Ayrshire,28 May 2022,Three and bit laps along Largs promenade.,55.7948829,-4.8695014
378,levengrove,Dumbarton,West Dumbartonshire,7 Dec 2019,Three laps of Levengrove Park.,55.9031853,-4.4129012
379,lewscastle,Stornoway,Comhairle nan Eilean Siar,11 Jan 2020,The course is out and back in the grounds of Lews Castle on the Isle of Lewis.,58.2091667,-6.378700101724059
380,linwood,Linwood,Renfrewshire,9 Jul 2016,"At Linwood Moss, flat with 3 km on gravel trail and 2 km on tarmac",55.8481367,-4.4886461
381,livingston,Livingston,West Lothian,9 Jan 2016,The course is located in Almondvale Park.,55.8831932,-3.5149461
382,lochleven,Kinross,Perth and Kinross,11 Aug 2018,"The course is 2 and a half loops on Loch Leven Heritage Trail, between Loch Leven and the village of Wester Balgedie. Hard packed ash trail surface, with a short uphill each lap.",56.2033706,-3.4214864
383,lochendwoods,Dunbar,East Lothian,23 March 2019,The course is two laps from Hallhill Sports Centre through Lochend Woods in Dunbar.,56.0021385,-2.5158237
384,lochoremeadows,Lochore,Fife,19 May 2018,"The course is around Loch Ore, located in Lochore Meadows Country Park.",56.1576499,-3.3213801
385,meadowmill,Tranent,East Lothian,9 February 2019,"The course is two laps around Meadowmill Sports Centre, between Tranent and Prestonpans.",55.9444972,-2.9534938
386,montrose,Montrose,Angus,8 Jul 2017,At Roselea Football Club on mixed terrain,56.7114295,-2.4681544
387,mountstuart,Rothesay,Argyll and Bute,7 Sep 2019,At Mount Stuart House.,55.8373085,-5.0522439
388,oriam,Riccarton,Edinburgh,2 Nov 2019,An out and back course on forest paths from the Oriam Sports Centre on the Heriot Watt University campus.,55.91029585,-3.323447514558347
389,perth,Perth,Perth and Kinross,30 Nov 2013,"The course is a ‘lollypop’ shaped course along the lovely river Tay. It is very flat, mainly on paths with a section on firm grass.",56.3958186,-3.4286805
390,plean,Plean,Stirling,18 Nov 2017,"At Plean Plean Country Park, starts on the path outside Plean House. Some muddy trails and fair bit of climbing.",56.0652645,-3.8754375
391,polkemmetcountry,Whitburn,West Lothian,25 May 2019,"The course is two laps of Polkemmet Country Park, to the west of Whitburn.",55.8667819,-3.6849014
392,pollok,Pollok,Glasgow,6 Dec 2008,The course is located in Pollok Country Park.,55.8307263,-4.3473617
393,portobello,Portobello,Edinburgh,18 Apr 2015,Three laps of Figgate Park.,55.9528635,-3.1145573
394,queens,Crosshill,Glasgow,19 Oct 2019,"A three lap, hilly tarmac course on the east side of Queen's Park.",55.8332445,-4.26089
395,ruchill,Ruchill,Glasgow,15 Apr 2017,The course is two and a half laps of the renowned whale-shaped route in Ruchill Park.,55.8884259,-4.2692879
396,springburn,Springburn,Glasgow,10 May 2014,At Springburn Park with views of the Springburn Winter Garden [de],55.8832685,-4.2292251
397,standrews,St Andrews,Fife,21 Apr 2012,"The course is three laps of the park perimeter, located in Craigtoun Country Park.",56.3403902,-2.7955844
398,stonehaven,Stonehaven,Aberdeenshire,10 Sep 2016,The course consists of 3 anti-clockwise laps of Mineralwell Park.,56.9640234,-2.2087993
399,strathclyde,Motherwell,South Lanarkshire,10 Apr 2010,The course is located in Strathclyde Country Park.,55.7758796,-4.0280081
400,thurso,Thurso,Highland,14 Apr 2018,Run along the river starting at Thurso Leisure Centre,58.5947443,-3.520577
401,tollcross,Tollcross,Glasgow,4 May 2013,"The course is 2 and a half laps, located in Tollcross Park",55.8432796,-4.170804
402,torvean,Inverness,Highland,21 Aug 2021,"The course is 2 and a half laps, located at Torvean Park. This location replaced the former Inverness parkrun, which took place 432 times between March 2011 and March 2020, at nearby Bught Park.",57.4790124,-4.225739
403,troon,Troon,South Ayrshire,2 Dec 2017,"The course is an out and back route, along Troon South Beach Esplanade.",55.5437893,-4.663906
404,universityofstirling,University of Stirling,Stirling,12 Oct 2019,The course is just over two laps around Airthrey Loch in the heart of the university campus.,56.145115399999995,-3.917393804088662
405,uryriverside,Inverurie,Aberdeenshire,2 Nov 2019,The course is one short and one long lap adjacent to River Ury in Inverurie.,57.2839493,-2.3742854
406,victoriaglasgow,Whiteinch,Glasgow,12 Oct 2013,"The course is 3 laps, located in Victoria Park.",55.8753382,-4.3371889
407,vogrie,Gorebridge,Midlothian,11 Mar 2017,"The course is 2 loops, located in Vogrie Country Park.",55.843548,-3.0478409
408,wallaceneuk,Kelso,Scottish Borders,18 Jan 2020,The course is out and back along a railway trail on the southern edge of Kelso.,55.5983788,-2.4338366
409,westlinks,Arbroath,Angus,15 Jan 2022,"Out and back along the Angus Coastal Path, starting and finishing at West Links Park.",56.5586729,-2.5815669
410,abingdon,Abingdon,Oxfordshire,7 May 2011,Two clockwise laps along the Thames Path and around Rye Meadow.,51.6714842,-1.2779715
411,aliceholt,Bucks Horn Oak,Hampshire,17 Nov 2012,A multi-terrain course held in Alice Holt Forest,51.1703885,-0.8478252
412,andover,Andover,Hampshire,16 Jul 2011,A two lap course held in Charlton,51.2078275,-1.479355
413,ashford,Ashford,Kent,26 Oct 2013,A two lap course held at Victoria Park. Run on a mixture of footpaths and grass.,51.148555,0.8722566
414,aylesbury,Aylesbury,Bucks,2 Nov 2013,On the cycle paths at Meadowcroft open Space,51.8161448,-0.8064745
415,banbury,Banbury,Oxfordshire,27 Sep 2014,In Spiceball Park. The winter course is 3 laps in an anti-clockwise direction. Whilst most of the course is on path there are a number of off-road parts.,52.0601807,-1.3402795
416,bansteadwoods,Banstead,Surrey,16 Jun 2007,A two lap course on trail paths. This is the third oldest parkrun after Wimbledon Common and Bushy Park.,51.3238969,-0.1986813
